Data,Open,High,Low,Close,Volume
5/31/2021,2237.25,2250.45,2227.27,2233.36,16710681
6/1/2021,2234.87,2268.18,2226.59,2233.37,23316200
6/2/2021,2234.69,2253.32,2233.99,2252.26,24449542
6/4/2021,2252.84,2261.39,2230.69,2254.59,25159845
6/7/2021,2254.62,2273.28,2245.49,2246.63,21167875
6/8/2021,2241.03,2247.11,2223.2,2237.61,25075401
6/9/2021,2239.73,2245.08,2215.18,2218.45,21212349
6/10/2021,2217.7,2242.7,2210.07,2236.89,22443207
6/11/2021,2238.75,2239.3,2224.15,2224.67,17318263
6/14/2021,2229.99,2253.2,2228.81,2253.2,12595787
6/15/2021,2262.55,2269.21,2230.1,2230.37,22220763
6/16/2021,2232.65,2244.07,2225.14,2225.27,24201593
6/17/2021,2215.45,2221.62,2204.74,2211.58,23153328
6/18/2021,2208.65,2224.42,2203.47,2220.68,50664709
6/21/2021,2210.86,2223.35,2189.24,2219.45,13477870
6/22/2021,2226.22,2234.65,2204.52,2220.53,17203459
6/23/2021,2222.93,2238.66,2217.36,2233.7,12351867
6/24/2021,2237.56,2276.77,2233.03,2273.11,21554467
6/25/2021,2271.93,2291.37,2269.55,2282.46,18348780
6/28/2021,2280.67,2293.02,2260.4,2285.81,14426441
6/29/2021,2281.71,2283.15,2251.62,2258.24,20798623
6/30/2021,2257.62,2264.36,2218.41,2218.41,30173446
7/1/2021,2223.84,2255.33,2223.84,2250.58,26314023
7/2/2021,2258.56,2269.4,2249.91,2252.18,15005220
7/5/2021,2255.07,2264.33,2254.01,2258.82,11132054
7/6/2021,2262.83,2268.55,2228.46,2228.46,15379686
7/7/2021,2234.52,2292.49,2234.52,2285.79,24212292
7/8/2021,2280.62,2280.62,2230.62,2234.6,23271241
7/9/2021,2241.61,2258.77,2233.98,2251.78,14565701
7/12/2021,2253.56,2262.35,2244.1,2255.48,17277109
7/13/2021,2259,2279.4,2258.36,2264.26,16105173
7/14/2021,2266.88,2280.19,2262.99,2268.57,17337649
7/15/2021,2268.01,2281.76,2255.35,2260.49,15890564
7/16/2021,2260.8,2272.02,2253.48,2258.1,13641051
7/19/2021,2254.48,2254.48,2196.01,2205.86,19846274
7/20/2021,2210.63,2223.97,2198.29,2221.28,17111977
7/21/2021,2215.48,2254.33,2215.48,2241.97,17379197
7/22/2021,2247.69,2252.95,2226.21,2229.86,10955990
7/23/2021,2234.32,2243.32,2232.83,2242.41,15031889
7/26/2021,2249.57,2250.75,2221.14,2240.65,12551639
7/27/2021,2241.05,2241.05,2214.24,2224.59,10721069
7/28/2021,2223.2,2249.22,2217.76,2245.76,13816872
7/29/2021,2257.08,2268.3,2257.08,2265.69,16331619
7/30/2021,2254.07,2258.76,2244.23,2253.45,22442567
8/2/2021,2261.61,2266.44,2248.02,2253.28,11744901
8/3/2021,2261.94,2272.82,2249.63,2257.73,15649057
8/4/2021,2262.05,2280.65,2261.6,2272.09,12490010
8/5/2021,2270.83,2275.58,2259.76,2270.67,15519749
8/6/2021,2272.53,2276,2255.61,2273.89,14713184
8/9/2021,2271.56,2279.9,2267.14,2274.48,10389346
8/10/2021,2275.63,2284.79,2268.38,2277.23,12813345
8/11/2021,2272.93,2283.69,2261.47,2283.69,16177824
8/12/2021,2281.08,2297.72,2277.19,2297.72,16571243
8/13/2021,2298.99,2302.1,2290.22,2302.03,11448729
